,title,salary,from_date
293,Senior Engineer,103672,2002-02-22
294,Senior Engineer,44642,1987-03-04
295,Senior Engineer,47879,1988-03-03
296,Senior Engineer,47733,1989-03-03
297,Senior Engineer,51396,1990-03-03
298,Senior Engineer,52808,1991-03-03
299,Senior Engineer,56581,1992-03-02
300,Senior Engineer,58363,1993-03-02
301,Senior Engineer,62607,1994-03-02
302,Senior Engineer,66769,1995-03-02
303,Senior Engineer,70158,1996-03-01
304,Senior Engineer,73730,1997-03-01
305,Senior Engineer,74242,1998-03-01
306,Senior Engineer,75732,1999-03-01
307,Senior Engineer,77620,2000-02-29
308,Senior Engineer,81784,2001-02-28
309,Senior Engineer,83254,2002-02-28
310,Senior Engineer,40000,1989-05-21
311,Senior Engineer,39567,1990-05-21
312,Senior Engineer,39724,1991-05-21
313,Senior Engineer,40803,1992-05-20
314,Senior Engineer,44781,1993-05-20
315,Senior Engineer,49265,1994-05-20
316,Senior Engineer,53559,1995-05-20
317,Senior Engineer,56103,1996-05-19
318,Senior Engineer,58578,1997-05-19
319,Senior Engineer,60600,1998-05-19
320,Senior Engineer,62174,1999-05-19
321,Senior Engineer,63157,2000-05-18
322,Senior Engineer,64726,2001-05-18
323,Senior Engineer,64512,2002-05-18
324,Senior Engineer,43815,1988-05-17
325,Senior Engineer,43590,1989-05-17
326,Senior Engineer,46087,1990-05-17
327,Senior Engineer,47765,1991-05-17
328,Senior Engineer,48606,1992-05-16
329,Senior Engineer,49208,1993-05-16
330,Senior Engineer,51099,1994-05-16
331,Senior Engineer,51323,1995-05-16
332,Senior Engineer,51238,1996-05-15
333,Senior Engineer,55463,1997-05-15
334,Senior Engineer,59623,1998-05-15
335,Senior Engineer,63624,1999-05-15
336,Senior Engineer,67492,2000-05-14
337,Senior Engineer,47319,1996-07-15
338,Senior Engineer,50802,1997-07-15
339,Senior Engineer,54783,1998-07-15
340,Senior Engineer,57418,1999-07-15
341,Senior Engineer,59999,2000-07-14
342,Senior Engineer,61118,2001-07-14
343,Senior Engineer,62921,2002-07-14
344,Senior Engineer,55786,1986-10-30
345,Senior Engineer,58975,1987-10-30
346,Senior Engineer,58475,1988-10-29
347,Senior Engineer,61935,1989-10-29
348,Senior Engineer,63172,1990-10-29
349,Senior Engineer,64355,1991-10-29
350,Senior Engineer,64054,1992-10-28
351,Senior Engineer,66796,1993-10-28
352,Senior Engineer,66704,1994-10-28
353,Senior Engineer,68102,1995-10-28
354,Senior Engineer,69882,1996-10-27
355,Senior Engineer,73516,1997-10-27
356,Senior Engineer,74714,1998-10-27
357,Senior Engineer,74734,1999-10-27
358,Senior Engineer,75683,2000-10-26
359,Senior Engineer,79351,2001-10-26
360,Senior Engineer,40000,1987-03-31
361,Senior Engineer,44226,1988-03-30
362,Senior Engineer,47900,1989-03-30
363,Senior Engineer,49732,1990-03-30
364,Senior Engineer,53520,1991-03-30
365,Senior Engineer,54944,1992-03-29
366,Senior Engineer,55469,1993-03-29
367,Senior Engineer,58814,1994-03-29
368,Senior Engineer,59286,1995-03-29
369,Senior Engineer,62727,1996-03-28
370,Senior Engineer,65435,1997-03-28
371,Senior Engineer,67142,1998-03-28
372,Senior Engineer,70495,1999-03-28
373,Senior Engineer,73060,2000-03-27
374,Senior Engineer,73756,2001-03-27
375,Senior Engineer,77186,2002-03-27
376,Senior Engineer,69811,1995-12-15
377,Senior Engineer,74293,1996-12-14
378,Senior Engineer,78493,1997-12-14
379,Senior Engineer,81977,1998-12-14
380,Senior Engineer,86412,1999-12-14
381,Senior Engineer,90039,2000-12-13
382,Senior Engineer,93621,2001-12-13
383,Senior Engineer,40000,1994-04-09
384,Senior Engineer,43030,1995-04-09
385,Senior Engineer,46477,1996-04-08
386,Senior Engineer,47707,1997-04-08
387,Senior Engineer,50245,1998-04-08
388,Senior Engineer,52683,1999-04-08
389,Senior Engineer,55176,2000-04-07
390,Senior Engineer,56905,2001-04-07
391,Senior Engineer,60910,2002-04-06
392,Senior Engineer,44978,1986-03-14
393,Senior Engineer,47905,1987-03-14
394,Senior Engineer,48211,1988-03-13
395,Senior Engineer,50694,1989-03-13
396,Senior Engineer,54084,1990-03-13
397,Senior Engineer,54095,1991-03-13
398,Senior Engineer,56190,1992-03-12
399,Senior Engineer,58604,1993-03-12
400,Senior Engineer,61661,1994-03-12
401,Senior Engineer,64839,1995-03-12
402,Senior Engineer,69311,1996-03-11
403,Senior Engineer,71274,1997-03-11
404,Senior Engineer,71605,1998-03-11
405,Senior Engineer,75401,1999-03-11
406,Senior Engineer,40000,1992-11-18
407,Senior Engineer,41181,1993-11-18
408,Senior Engineer,43812,1994-11-18
409,Senior Engineer,44046,1995-11-18
410,Senior Engineer,45385,1996-11-17
411,Senior Engineer,46467,1997-11-17
412,Senior Engineer,49155,1998-11-17
413,Senior Engineer,53157,1999-11-17
414,Senior Engineer,55958,2000-11-16
415,Senior Engineer,60014,2001-11-16
416,Senior Engineer,40000,1985-05-13
417,Senior Engineer,41426,1986-05-13
418,Senior Engineer,45147,1987-05-13
419,Senior Engineer,48625,1988-05-12
420,Senior Engineer,49228,1989-05-12
421,Senior Engineer,51404,1990-05-12
422,Senior Engineer,53646,1991-05-12
423,Senior Engineer,56202,1992-05-11
424,Senior Engineer,62928,1991-10-27
425,Senior Engineer,65062,1992-10-25
426,Senior Engineer,65616,1993-10-26
427,Senior Engineer,68515,1994-10-26
428,Senior Engineer,69581,1995-10-26
429,Senior Engineer,73687,1996-10-25
430,Senior Engineer,73427,1997-10-25
431,Senior Engineer,77451,1998-10-25
432,Senior Engineer,80777,1999-10-25
433,Senior Engineer,80952,2000-10-24
434,Senior Engineer,82836,2001-10-24
435,Senior Engineer,40000,1993-06-16
436,Senior Engineer,42756,1994-06-16
437,Senior Engineer,46315,1995-06-16
438,Senior Engineer,46621,1996-06-15
439,Senior Engineer,46700,1997-06-15
440,Senior Engineer,46975,1998-06-15
441,Senior Engineer,50806,1999-06-15
442,Senior Engineer,51328,2000-06-14
443,Senior Engineer,51092,2001-06-14
444,Senior Engineer,52721,2002-06-14
445,Senior Engineer,40000,1988-12-19
446,Senior Engineer,41368,1989-12-19
447,Senior Engineer,45119,1990-12-19
448,Senior Engineer,45893,1991-12-19
449,Senior Engineer,45440,1992-12-18
450,Senior Engineer,44949,1993-12-18
451,Senior Engineer,46267,1994-12-18
452,Senior Engineer,47614,1995-12-18
453,Senior Engineer,47852,1996-12-17
454,Senior Engineer,48230,1997-12-17
455,Senior Engineer,52193,1998-12-17
456,Senior Engineer,53833,1999-12-17
457,Senior Engineer,57126,2000-12-16
458,Senior Engineer,56641,2001-12-16
459,Senior Engineer,44034,1994-02-27
460,Senior Engineer,43936,1995-02-27
461,Senior Engineer,46632,1996-02-27
462,Senior Engineer,48596,1997-02-26
463,Senior Engineer,48568,1998-02-26
464,Senior Engineer,52284,1992-03-19
465,Senior Engineer,53293,1993-03-19
466,Senior Engineer,57635,1994-03-19
467,Senior Engineer,61213,1995-03-19
468,Senior Engineer,61524,1996-03-18
469,Senior Engineer,63986,1997-03-18
470,Senior Engineer,67513,1998-03-18
471,Senior Engineer,68839,1999-03-18
472,Senior Engineer,72321,2000-03-17
473,Senior Engineer,73113,2001-03-17
474,Senior Engineer,75936,2002-03-17
475,Senior Engineer,40000,1992-02-02
476,Senior Engineer,40637,1993-02-01
477,Senior Engineer,43697,1994-02-01
478,Senior Engineer,44128,1995-02-01
479,Senior Engineer,48087,1996-02-01
480,Senior Engineer,48717,1997-01-31
481,Senior Engineer,50231,1998-01-31
482,Senior Engineer,50794,1999-01-31
483,Senior Engineer,51606,2000-01-31
484,Senior Engineer,52962,2001-01-30
485,Senior Engineer,55284,2002-01-30
486,Senior Engineer,43772,1989-05-03
487,Senior Engineer,44986,1990-05-03
488,Senior Engineer,48254,1991-05-03
489,Senior Engineer,51126,1992-05-02
490,Senior Engineer,52935,1993-05-02
491,Senior Engineer,53369,1994-05-02
492,Senior Engineer,55848,1995-05-02
493,Senior Engineer,56292,1996-05-01
494,Senior Engineer,57618,1997-05-01
495,Senior Engineer,60389,1998-05-01
496,Senior Engineer,62896,1999-05-01
497,Senior Engineer,64051,2000-04-30
498,Senior Engineer,65243,2001-04-30
499,Senior Engineer,66834,2002-04-30
500,Senior Engineer,40583,1991-09-05
501,Senior Engineer,41383,1992-09-04
502,Senior Engineer,45702,1993-09-04
503,Senior Engineer,46922,1994-09-04
504,Senior Engineer,47331,1995-09-04
505,Senior Engineer,50109,1996-09-03
506,Senior Engineer,53990,1997-09-03
507,Senior Engineer,55731,1998-09-03
508,Senior Engineer,56905,1999-09-03
509,Senior Engineer,57740,2000-09-02
510,Senior Engineer,58460,2001-09-02
511,Senior Engineer,40000,1991-05-17
512,Senior Engineer,43494,1992-05-16
513,Senior Engineer,45674,1993-05-16
514,Senior Engineer,46204,1994-05-16
515,Senior Engineer,49840,1995-05-16
516,Senior Engineer,51810,1996-05-15
517,Senior Engineer,55610,1997-05-15
518,Senior Engineer,57436,1998-05-15
519,Senior Engineer,61146,1999-05-15
520,Senior Engineer,61697,2000-05-14
521,Senior Engineer,63137,2001-05-14
522,Senior Engineer,63100,2002-05-14
523,Senior Engineer,40000,1988-06-21
524,Senior Engineer,40790,1989-06-21
525,Senior Engineer,43665,1990-06-21
526,Senior Engineer,47212,1991-06-21
527,Senior Engineer,47907,1992-06-20
528,Senior Engineer,50091,1993-06-20
529,Senior Engineer,51865,1994-06-20
530,Senior Engineer,53684,1995-06-20
531,Senior Engineer,57038,1996-06-19
532,Senior Engineer,57025,1997-06-19
533,Senior Engineer,61107,1998-06-19
534,Senior Engineer,63920,1999-06-19
535,Senior Engineer,67898,2000-06-18
536,Senior Engineer,71427,2001-06-18
537,Senior Engineer,73881,2002-06-18
538,Senior Engineer,40000,1985-12-15
539,Senior Engineer,41709,1986-12-15
540,Senior Engineer,44459,1987-12-15
541,Senior Engineer,45366,1988-12-14
542,Senior Engineer,46617,1989-12-14
543,Senior Engineer,50257,1990-12-14
544,Senior Engineer,52802,1991-12-14
545,Senior Engineer,56660,1992-12-13
546,Senior Engineer,59819,1993-12-13
547,Senior Engineer,60871,1994-12-13
548,Senior Engineer,65175,1995-12-13
549,Senior Engineer,67143,1996-12-12
550,Senior Engineer,71526,1997-12-12
551,Senior Engineer,74255,1998-12-12
552,Senior Engineer,78736,1999-12-12
553,Senior Engineer,80478,2000-12-11
554,Senior Engineer,83921,2001-12-11
555,Senior Engineer,40000,1987-12-12
556,Senior Engineer,42640,1988-12-11
557,Senior Engineer,45577,1989-12-11
558,Senior Engineer,49482,1990-12-11
559,Senior Engineer,52863,1991-12-11
560,Senior Engineer,52846,1992-12-10
561,Senior Engineer,53062,1993-12-10
562,Senior Engineer,57420,1994-12-10
563,Senior Engineer,58923,1995-12-10
564,Senior Engineer,59416,1996-12-09
565,Senior Engineer,59546,1997-12-09
566,Senior Engineer,60810,1998-12-09
567,Senior Engineer,61202,1999-12-09
568,Senior Engineer,65050,2000-12-08
569,Senior Engineer,69194,2001-12-08
570,Senior Engineer,53574,1992-03-03
571,Senior Engineer,55822,1993-03-03
572,Senior Engineer,58424,1994-03-03
573,Senior Engineer,60862,1995-03-03
574,Senior Engineer,65302,1996-03-02
575,Senior Engineer,67990,1997-03-02
576,Senior Engineer,69969,1998-03-02
577,Senior Engineer,69941,1999-03-02
578,Senior Engineer,70533,2000-03-01
579,Senior Engineer,74825,2001-03-01
580,Senior Engineer,74875,2002-03-01
581,Senior Engineer,40000,1993-10-28
582,Senior Engineer,41712,1994-10-28
583,Senior Engineer,41244,1995-10-28
584,Senior Engineer,43280,1996-10-27
585,Senior Engineer,47508,1997-10-26
586,Senior Engineer,50581,1998-10-26
587,Senior Engineer,53927,1999-10-27
588,Senior Engineer,58003,2000-10-26
589,Senior Engineer,57530,2001-10-26
590,Senior Engineer,40000,1988-09-30
591,Senior Engineer,41922,1989-09-30
592,Senior Engineer,45316,1990-09-30
593,Senior Engineer,47353,1991-09-30
594,Senior Engineer,48911,1992-09-29
595,Senior Engineer,51207,1993-09-29
596,Senior Engineer,54032,1994-09-29
597,Senior Engineer,55019,1995-09-29
598,Senior Engineer,56753,1996-09-28
599,Senior Engineer,58378,1997-09-28
600,Senior Engineer,62765,1998-09-28
601,Senior Engineer,63657,1999-09-28
602,Senior Engineer,66113,2000-09-27
603,Senior Engineer,70351,2001-09-27
604,Senior Engineer,70122,1986-11-16
605,Senior Engineer,74014,1987-11-16
606,Senior Engineer,75633,1988-11-15
607,Senior Engineer,79310,1989-11-15
608,Senior Engineer,80009,1990-11-15
609,Senior Engineer,79579,1991-11-15
610,Senior Engineer,82561,1992-11-14
611,Senior Engineer,85318,1993-11-14
612,Senior Engineer,87755,1994-11-14
613,Senior Engineer,89817,1995-11-14
614,Senior Engineer,92075,1996-11-13
615,Senior Engineer,91816,1997-11-13
616,Senior Engineer,93921,1998-11-13
617,Senior Engineer,97030,1999-11-13
618,Senior Engineer,97042,2000-11-12
619,Senior Engineer,100182,2001-11-12
620,Senior Engineer,49879,1993-05-14
621,Senior Engineer,53456,1994-05-14
622,Senior Engineer,56114,1995-05-14
623,Senior Engineer,59660,1996-05-13
624,Senior Engineer,61867,1997-05-13
625,Senior Engineer,65045,1998-05-13
626,Senior Engineer,65641,1999-05-13
627,Senior Engineer,66750,2000-05-12
628,Senior Engineer,70015,2001-05-12
629,Senior Engineer,71859,2002-05-12
630,Senior Engineer,48770,1997-12-10
631,Senior Engineer,49415,1998-12-10
632,Senior Engineer,53212,1999-12-10
633,Senior Engineer,53841,2000-12-09
634,Senior Engineer,56615,2001-12-09
635,Senior Engineer,40725,1987-06-04
636,Senior Engineer,42990,1988-06-03
637,Senior Engineer,45686,1989-06-03
638,Senior Engineer,46501,1990-06-03
639,Senior Engineer,46246,1991-06-03
640,Senior Engineer,48060,1992-06-02
641,Senior Engineer,50560,1993-06-02
642,Senior Engineer,52733,1994-06-02
643,Senior Engineer,52368,1995-06-02
644,Senior Engineer,53683,1996-06-01
645,Senior Engineer,57837,1997-06-01
646,Senior Engineer,57940,1998-06-01
647,Senior Engineer,59034,1999-06-01
648,Senior Engineer,63205,2000-05-31
649,Senior Engineer,67016,2001-05-31
650,Senior Engineer,68624,2002-05-31
651,Senior Engineer,52881,1996-06-12
652,Senior Engineer,53728,1997-06-12
653,Senior Engineer,53523,1998-06-12
654,Senior Engineer,53220,1999-06-12
655,Senior Engineer,56144,2000-06-11
656,Senior Engineer,56409,2001-06-11
657,Senior Engineer,56651,2002-06-11
658,Senior Engineer,52043,1990-10-19
659,Senior Engineer,54942,1991-10-19
660,Senior Engineer,56015,1992-10-18
661,Senior Engineer,59456,1993-10-18
662,Senior Engineer,61836,1994-10-18
663,Senior Engineer,61482,1995-10-18
664,Senior Engineer,63211,1996-10-17
665,Senior Engineer,62854,1997-10-17
666,Senior Engineer,66438,1998-10-17
667,Senior Engineer,67246,1999-10-17
668,Senior Engineer,71024,2000-10-16
669,Senior Engineer,72497,2001-10-16
670,Senior Engineer,56990,1992-04-04
671,Senior Engineer,60169,1993-04-04
672,Senior Engineer,62394,1994-04-04
673,Senior Engineer,63807,1995-04-04
674,Senior Engineer,66033,1996-04-03
675,Senior Engineer,66781,1997-04-03
676,Senior Engineer,66602,1998-04-03
677,Senior Engineer,67226,1999-04-03
678,Senior Engineer,71550,2000-04-02
679,Senior Engineer,75230,2001-04-02
680,Senior Engineer,75147,2002-04-02
681,Senior Engineer,59520,1987-06-01
682,Senior Engineer,60067,1988-05-31
683,Senior Engineer,61059,1989-05-31
684,Senior Engineer,61702,1990-05-31
685,Senior Engineer,64846,1991-05-31
686,Senior Engineer,69062,1992-05-30
687,Senior Engineer,73527,1993-05-30
688,Senior Engineer,73604,1994-05-30
689,Senior Engineer,75100,1995-05-30
690,Senior Engineer,79437,1996-05-29
691,Senior Engineer,81394,1997-05-29
692,Senior Engineer,81262,1998-05-29
693,Senior Engineer,84576,1999-05-29
694,Senior Engineer,87113,2000-05-28
695,Senior Engineer,89233,2001-05-28
696,Senior Engineer,92117,2002-05-28
697,Senior Engineer,40000,1988-06-22
698,Senior Engineer,44027,1989-06-22
